7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik;;;;;;;;
;;;;;;;;
;;;Primeri;Koledarski dnevi;Odstotek BS (% BS);Izgubljeni koledarski dnevi na zaposlenega (IO);Število primerov na 100 zaposlenih (IF);Povpre?no trajanje ene odsotnosti (R)
;;70 in ve? let;21;695;2;6;19;33
;;Neznano;4;27;-;-;-;-
;Ženske;Starost-SKUPAJ;428314;7389120;6;20;116;17
;;15 do 19 let;525;5654;2;7;67;11
;;20 do 24 let;16887;256921;4;15;99;15
;;25 do 29 let;61386;915859;5;18;120;15
;;30 do 34 let;86725;1108372;5;19;149;13
;;35 do 39 let;83962;1096329;5;17;132;13
;;40 do 44 let;66107;1140478;5;18;103;17
;;45 do 49 let;58125;1329971;6;22;97;23
;;50 do 54 let;45101;1258850;8;28;99;28
;;55 do 59 let;8947;262838;8;30;100;29
;;60 do 64 let;478;12177;5;17;67;26
;;65 do 69 let;53;1334;4;14;55;25
;;70 in ve? let;11;303;4;14;52;28
;;Neznano;7;34;-;-;-;-
2005;Spol - SKUPAJ;Starost-SKUPAJ;789929;14310821;5;17;95;18
;;15 do 19 let;2071;20383;2;6;65;10
;;20 do 24 let;39826;513392;3;12;91;13
;;25 do 29 let;106805;1466488;4;13;97;14
;;30 do 34 let;143628;1810145;4;15;115;13
;;35 do 39 let;137887;1877805;4;15;108;14
;;40 do 44 let;118332;2061968;4;15;88;17
;;45 do 49 let;105786;2431966;5;19;84;23
;;50 do 54 let;92903;2631833;7;24;85;28
;;55 do 59 let;38633;1339680;8;28;81;35
;;60 do 64 let;3736;147816;7;25;62;40
;;65 do 69 let;248;6672;3;9;33;27
;;70 in ve? let;63;2599;5;18;43;41
;;Neznano;11;74;-;-;-;-
;Moški;Starost-SKUPAJ;345233;6994345;4;15;75;20
;;15 do 19 let;1709;16307;2;6;67;10
;;20 do 24 let;25664;307883;3;11;90;12
;;25 do 29 let;46924;626162;3;11;79;13
;;30 do 34 let;52630;705266;3;11;80;13
;;35 do 39 let;51302;814408;3;12;77;16
;;40 do 44 let;48411;940608;4;14;70;19
;;45 do 49 let;45193;1111306;5;17;68;25
;;50 do 54 let;43087;1330607;6;22;72;31
;;55 do 59 let;26954;1003676;8;27;73;37
;;60 do 64 let;3133;131007;7;25;59;42
;;65 do 69 let;181;4900;2;8;29;27
;;70 in ve? let;39;2168;5;17;31;56
;;Neznano;6;47;-;-;-;-
;Ženske;Starost-SKUPAJ;444696;7316476;5;20;120;17
;;15 do 19 let;362;4076;2;7;58;11
;;20 do 24 let;14162;205509;4;14;93;15
;;25 do 29 let;59881;840326;5;17;119;14
;;30 do 34 let;90998;1104879;5;19;155;12
;;35 do 39 let;86585;1063397;5;17;141;12
;;40 do 44 let;69921;1121360;5;17;108;16
;;45 do 49 let;60593;1320660;6;22;101;22
;;50 do 54 let;49816;1301226;7;27;102;26
;;55 do 59 let;11679;336004;8;31;107;29
;;60 do 64 let;603;16809;6;23;83;28
;;65 do 69 let;67;1772;4;15;57;26
;;70 in ve? let;24;431;6;23;126;18
;;Neznano;5;27;-;-;-;-
2006;Spol - SKUPAJ;Starost-SKUPAJ;695288;13026763;4;15;82;19
;;15 do 19 let;2010;20290;2;6;56;10
;;20 do 24 let;35657;467097;3;11;82;13
;;25 do 29 let;93840;1364873;3;12;85;15
;;30 do 34 let;126644;1714943;4;13;99;14
;;35 do 39 let;117081;1629288;4;13;93;14
;;40 do 44 let;104538;1864184;4;14;77;18
;;45 do 49 let;91783;2196397;5;17;72;24
;;50 do 54 let;82596;2355584;6;21;73;29
;;55 do 59 let;36900;1246060;7;24;70;34
;;60 do 64 let;3954;156300;6;22;55;40
;;65 do 69 let;244;9746;3;11;27;40
;;70 in ve? let;27;1924;3;12;17;71
;;Neznano;14;77;-;-;-;-
;Moški;Starost-SKUPAJ;305990;6322063;4;13;65;21
;;15 do 19 let;1631;16594;2;6;56;10
;;20 do 24 let;23634;293716;3;10;81;12
;;25 do 29 let;42257;590888;3;10;70;14
;;30 do 34 let;46737;652638;3;10;69;14
;;35 do 39 let;44075;711238;3;11;66;16
;;40 do 44 let;42505;841812;3;12;60;20
;;45 do 49 let;39036;996802;4;15;58;26
;;50 do 54 let;37675;1161917;5;19;61;31
;;55 do 59 let;24929;906204;6;23;63;36
;;60 do 64 let;3301;140162;6;22;53;43
;;65 do 69 let;181;8463;3;11;24;47
;;70 in ve? let;21;1581;3;11;15;75
;;Neznano;8;48;-;-;-;-
;Ženske;Starost-SKUPAJ;389298;6704700;5;18;104;17
;;15 do 19 let;379;3696;1;5;54;10
