4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Gospodarske dejavnosti po SKD, Kazalnik, Leto in Spol;;;
;;;
;;;Spol - SKUPAJ
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;10
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;11
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;0
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;-
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;-
